"gvkey","curcd","fyear","fyr","datadate","at","capx","shareequity","dlc","dltt","dvp","ebit","netprofit","pstk","sale","epsexcon","nicon","conm","fic","conml","ggroup","gind","gsector","gsubind","sector","indgroup","industry","subind","debt","invested_capital"
"013312","USD","2024",6,"6/30/2024",102362,9273,49120,2084,18634,NA,22771,9601,0,55658,1.5582,7897,"BHP GROUP LTD","AUS","BHP Group Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",20718,69838
"210216","AUD","2024",6,"6/30/2024",45550,2288,17352,4228,12740,NA,3712,1788,0,22928,0.1405,1622,"TELSTRA GROUP LIMITED","AUS","Telstra Group Limited",5010,501010,50,50101020,"Communication Services","Telecommunication Services","Diversified Telecommunication Services","Integrated Telecommunication Services",16968,34320
"223003","USD","2024",6,"6/30/2024",38022,849,19401,944,11239,NA,3896,2714,0,14690,5.4699,2642,"CSL LTD","AUS","CSL Ltd",3520,352010,35,35201010,"Health Care","Pharmaceuticals, Biotechnology & Life Sciences","Biotechnology","Biotechnology",12183,31584
"212650","AUD","2024",6,"6/30/2024",36694,104,11678,1590,18596,NA,1132,376,0,4119,0.1055,326,"TRANSURBAN GROUP","AUS","Transurban Group",2030,203050,20,20305020,"Industrials","Transportation","Transportation Infrastructure","Highways & Railtracks",20186,31864
"100894","AUD","2024",6,"6/30/2024",33936,2548,5570,2311,14411,NA,3100,117,0,67922,0.0885,108,"WOOLWORTHS GROUP LTD","AUS","Woolworths Group Ltd",3010,301010,30,30101030,"Consumer Staples","Consumer Staples Distribution & Retail (New Name)","Consumer Staples Distribution & Retail (New Name)","Food Retail",16722,22292
"212427","USD","2024",6,"6/30/2024",30060,2834,19531,192,5208,NA,8520,5664,0,18220,1.8476,5683,"FORTESCUE LTD","AUS","Fortescue Ltd",1510,151040,15,15104050,"Materials","Materials","Metals & Mining","Steel",5400,24931
"101601","AUD","2024",6,"6/30/2024",27309,923,8585,1165,10113,NA,3849,2557,0,44189,2.2568,2557,"WESFARMERS LTD","AUS","Wesfarmers Ltd",2550,255030,25,25503030,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Broadline Retail (New Name)","Broadline Retail (New)",11278,19863
"226744","AUD","2024",6,"6/30/2024",20894,753.8,5275.3,605.7,10332.4,NA,938.7,263.3,252.2,16660.2,1.1112,253.9,"RAMSAY HEALTH CARE LTD","AUS","Ramsay Health Care Ltd",3510,351020,35,35102020,"Health Care","Health Care Equipment & Services","Health Care Providers & Services","Health Care Facilities",11190.3,16465.6
"220244","AUD","2024",6,"6/30/2024",20564,2761,294,600,5991,NA,2198,1251,0,20114,0.7592,1255,"QANTAS AIRWAYS LTD","AUS","Qantas Airways Ltd",2030,203020,20,20302010,"Industrials","Transportation","Passenger Airlines (New name)","Passenger Airlines (New name)",6591,6885
"017525","AUD","2024",6,"6/30/2024",20454,608,9489,68,3310,NA,952,1397,0,16138,0.8112,1397,"ORIGIN ENERGY LTD","AUS","Origin Energy Ltd",5510,551010,55,55101010,"Utilities","Utilities","Electric Utilities","Electric Utilities",3378,12867
"329498","AUD","2024",6,"6/30/2024",19870,1671,3617,911,9158,NA,1965,1128,0,43571,0.8456,1128,"COLES GROUP LTD","AUS","Coles Group Ltd",3010,301010,30,30101030,"Consumer Staples","Consumer Staples Distribution & Retail (New Name)","Consumer Staples Distribution & Retail (New Name)","Food Retail",10069,13686
"242536","AUD","2024",6,"6/30/2024",19563,1053,3248,1919,11073,NA,1850,998,0,3039,0.7731,978,"APA GROUP","AUS","APA Group",5510,551020,55,55102010,"Utilities","Utilities","Gas Utilities","Gas Utilities",12992,16240
"252290","AUD","2024",6,"6/30/2024",15678,963.3,11285.5,190.8,530.7,NA,1303.6,947.2,0,17055.3,1.7976,804.7,"BLUESCOPE STEEL LTD","AUS","Bluescope Steel Ltd",1510,151040,15,15104050,"Materials","Materials","Metals & Mining","Steel",721.5,12007
"100251","AUD","2024",6,"6/30/2024",15661,838,5431,35,2693,NA,1414,703,0,13583,1.0569,711,"AGL ENERGY","AUS","AGL Energy",5510,551030,55,55103010,"Utilities","Utilities","Multi-Utilities","Multi-Utilities",2728,8159
"207097","AUD","2024",6,"6/30/2024",14826.474,470.612,8075.125,661.316,3854.338,NA,863.954,543.804,0,8967.405,1.0735,511.094,"SONIC HEALTHCARE LTD","AUS","Sonic Healthcare Ltd",3510,351020,35,35102015,"Health Care","Health Care Equipment & Services","Health Care Providers & Services","Health Care  Services",4515.654,12590.779
"319687","USD","2024",6,"6/30/2024",14245,1117,8971,223,1343,NA,54,-640,0,5479,-0.1412,-638,"SOUTH32 LTD","AUS","South32 Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",1566,10537
"208326","AUD","2024",6,"6/30/2024",13604.1,672.4,4117.9,775.5,5255.1,NA,1207.3,522.1,0,10558.5,1.2609,464.4,"SGH LIMITED","AUS","SGH Limited",2010,201070,20,20107010,"Industrials","Capital Goods","Trading Companies & Distributors","Trading Companies & Distributors",6030.6,10148.5
"259625","AUD","2024",6,"6/30/2024",13080.8,1440,8790.9,152.4,1191.9,NA,961.8,638.5,0,4921.2,0.5561,638.5,"NTHN STAR RES LTD","AUS","Northern Star Resources Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",1344.3,10135.2
"284808","AUD","2024",6,"6/30/2024",12852,454,5271,147,1744,NA,969,355,0,3824,0.4448,355,"WHITEHAVEN COAL LIMITED","AUS","Whitehaven Coal Limited",1010,101020,10,10102050,"Energy","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels",1891,7162
"205194","AUD","2024",6,"6/30/2024",12232,4133,3584,255,5081,NA,319,114,0,5278,0.6396,125,"MINERAL RESOURCES LTD","AUS","Mineral Resources Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",5336,8920
"348897","AUD","2024",6,"6/30/2024",11783,419,3770,368,5697,NA,1055,511,0,12309,0.2859,512,"ENDEAVOUR GROUP LIMITED","AUS","Endeavour Group Limited",3010,301010,30,30101030,"Consumer Staples","Consumer Staples Distribution & Retail (New Name)","Consumer Staples Distribution & Retail (New Name)","Food Retail",6065,9835
"295910","AUD","2024",6,"6/30/2024",11596,803,4438,979,4104,NA,922,406,0,3841,0.2206,406,"AURIZON HOLDINGS LTD","AUS","Aurizon Holdings Ltd",2030,203040,20,20304010,"Industrials","Transportation","Ground Transportation (New Name)","Rail Transportation (New Name)",5083,9521
"254665","AUD","2024",6,"6/30/2024",10464,95,5497,132,1941,NA,653,313,0,11789,0.5747,303,"WORLEY LTD","AUS","Worley Ltd",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",2073,7570
"104566","AUD","2024",7,"7/31/2024",10397.7,173.6,8998.8,162.3,603.6,NA,376.8,496.1,0,1034.5,1.5578,498.8,"SOUL PATTINSON WASH H & CO","AUS","Washington H.Soul Pattinson & Co Ltd",4020,402010,40,40201030,"Financials","Financial Services (New Name)","Financial Services (New Name)","Multi-Sector Holdings",765.9,9764.7
"212628","AUD","2024",9,"9/30/2024",10303.4,419.2,6279.9,153.7,2254,NA,1930.8,1303.4,NA,6603.6,2.0479,1303.4,"ARISTOCRAT LEISURE LTD","AUS","Aristocrat Leisure Ltd",2530,253010,25,25301010,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Casinos & Gaming",2407.7,8687.6
"100442","AUD","2024",9,"9/30/2024",9598.3,435.3,4547.6,169.3,2351.7,NA,708.7,558.8,0,7662.8,1.1072,524.6,"ORICA LTD","AUS","Orica Ltd",1510,151010,15,15101010,"Materials","Materials","Chemicals","Commodity Chemicals",2521,7068.6
"253350","AUD","2024",6,"6/30/2024",8818.841,918.269,4142.196,126.527,1892.547,NA,824.861,422.269,0,3215.832,0.2202,422.269,"EVOLUTION MINING LTD","AUS","Evolution Mining Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",2019.074,6161.27
"100461","USD","2024",6,"6/30/2024",8731.1,1136,3227.1,156.6,2484.4,NA,1200.6,779.9,0,6545.4,0.5605,779.9,"BRAMBLES LTD","AUS","Brambles Ltd",2020,202010,20,20201070,"Industrials","Commercial  & Professional Services","Commercial Services & Supplies","Diversified Support Services",2641,5868.1
"257860","AUD","2024",9,"9/30/2024",8398.4,378.7,4844.9,68.4,1887,NA,410.6,-478.6,0,5278.5,-0.2468,-477.7,"INCITEC PIVOT LTD","AUS","Incitec Pivot Ltd",1510,151010,15,15101020,"Materials","Materials","Chemicals","Diversified Chemicals",1955.4,6800.3
"297352","AUD","2024",6,"6/30/2024",8112.8,176.2,4610.9,83.8,2074.7,NA,287.9,99,0,2808.3,0.127,98.9,"TREASURY WINE ESTATES LTD","AUS","Treasury Wine Estates Ltd",3020,302010,30,30201020,"Consumer Staples","Food, Beverage & Tobacco","Beverages","Distillers & Vintners",2158.5,6769.4
"203007","AUD","2024",6,"6/30/2024",7927.867,192.158,4536.93,236.499,2043.073,NA,660.727,357.628,0,2803.358,0.2829,352.453,"HARVEY NORMAN HLDGS LTD","AUS","Harvey Norman Holdings Limited",2550,255030,25,25503030,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Broadline Retail (New Name)","Broadline Retail (New)",2279.572,6816.502
"101605","AUD","2024",6,"6/30/2024",7094.869,236.31,3884.143,135.847,1696.416,NA,674.403,419.171,0,9104.772,0.6492,419.171,"REECE LTD","AUS","Reece Ltd",2010,201070,20,20107010,"Industrials","Capital Goods","Trading Companies & Distributors","Trading Companies & Distributors",1832.263,5716.406
"241380","AUD","2024",6,"6/30/2024",6748.2,124.3,2259.4,126.9,1679,13,283.3,82.1,0,10979.5,0.0837,56.1,"DOWNER EDI LTD","AUS","Downer Edi Ltd",2020,202010,20,20201070,"Industrials","Commercial  & Professional Services","Commercial Services & Supplies","Diversified Support Services",1805.9,4065.3
"272847","AUD","2024",6,"6/30/2024",6372.5,370.4,3001.6,110.4,1621.5,NA,329.2,158.2,0,3758.2,0.0703,156.6,"CLEANAWAY WASTE MGMT LTD","AUS","Cleanaway Waste Management Ltd",2020,202010,20,20201050,"Industrials","Commercial  & Professional Services","Commercial Services & Supplies","Environmental & Facilities Services",1731.9,4733.5
"282382","AUD","2024",6,"6/30/2024",6103.4,539.1,3111.9,150.1,2187,NA,310.6,227,0,3331.4,0.1285,227,"QUBE HOLDINGS LTD","AUS","Qube Holdings Ltd",2030,203050,20,20305030,"Industrials","Transportation","Transportation Infrastructure","Marine Ports & Services",2337.1,5449
"316825","AUD","2024",6,"6/30/2024",5992.7,260.8,2091.7,104.8,2313.1,NA,404,185.2,0,4697.6,0.1483,185.2,"ORORA LTD","AUS","Orora Ltd",1510,151030,15,15103010,"Materials","Materials","Containers & Packaging","Metal, Glass & Plastic Containers  (New Name)",2417.9,4509.6
"209933","AUD","2024",7,"7/31/2024",5842.575,73.345,3381.772,55.386,1293.751,NA,20.444,-117.235,0,1089.414,-0.8698,-117.235,"BRICKWORKS LTD","AUS","Brickworks Ltd",1510,151020,15,15102010,"Materials","Materials","Construction Materials","Construction Materials",1349.137,4730.909
"315882","AUD","2024",6,"6/30/2024",5705.8,10.7,2568.2,71.2,1225.3,NA,468,273.7,0,1715.3,0.212,228,"STEADFAST GROUP LTD","AUS","Steadfast Group Ltd",4030,403010,40,40301010,"Financials","Insurance","Insurance","Insurance Brokers",1296.5,3864.7
"101392","AUD","2024",6,"6/30/2024",5499.2,1089.3,3312.5,12.4,782.3,NA,-594,-475.3,0,1797.6,-0.2085,-475.3,"BEACH ENERGY LTD","AUS","Beach Energy Ltd",1010,101020,10,10102020,"Energy","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production",794.7,4107.2
"296254","AUD","2024",6,"6/30/2024",5216.697,918.687,3567.1,7.056,1448.026,NA,28.504,-44.146,0,404.337,-0.0833,-44.146,"NEXTDC LTD","AUS","NEXTDC Ltd",4510,451020,45,45102030,"Information Technology","Software & Services","IT Services","Internet Services & Infrastructure",1455.082,5022.182
"208079","AUD","2024",6,"6/30/2024",4904.7,214.3,2562.7,73.5,710.9,NA,-89.2,1.8,0,7224,0.0093,1.8,"SIMS LTD","AUS","Sims Ltd - ADR",1510,151040,15,15104050,"Materials","Materials","Metals & Mining","Steel",784.4,3347.1
"284805","AUD","2024",6,"6/30/2024",4770.9,340.7,756,374.7,2906.6,NA,170,-0.1,0,2261.5,-1e-04,-0.1,"ASCIANO LTD","AUS","Asciano Ltd",2030,203040,20,20304010,"Industrials","Transportation","Ground Transportation (New Name)","Rail Transportation (New Name)",3281.3,4037.3
"272775","AUD","2024",6,"6/30/2024",4754.7,12.6,2582.2,20,1389,NA,299.2,-59.9,0,1084.1,-0.1681,-59.9,"SEEK LTD","AUS","Seek Ltd",5020,502030,50,50203010,"Communication Services","Media & Entertainment","Interactive Media & Services","Interactive Media & Services",1409,3991.2
"292734","AUD","2024",6,"6/30/2024",4668.536,11.531,2936.182,46.1,1292.107,NA,413.082,261.036,0,1098.724,0.6631,249.972,"CAR GROUP LTD","AUS","CAR Group Limited",5020,502030,50,50203010,"Communication Services","Media & Entertainment","Interactive Media & Services","Interactive Media & Services",1338.207,4274.389
"326703","AUD","2024",6,"6/30/2024",4477.73,NA,1921.897,0,0,NA,NA,170.29,0,117.288,0.2749,170.29,"L1 LONG SHORT FUND","AUS","L1 Long Short Fund Ltd",NA,NA,NA,NA,NA,NA,NA,NA,0,1921.897
"101613","AUD","2024",9,"9/30/2024",4427.414,127.192,2211.171,82.011,1016.311,NA,60.065,-5.598,0,3345.909,-0.0679,-25.931,"NUFARM LTD","AUS","Nufarm Ltd",1510,151010,15,15101030,"Materials","Materials","Chemicals","Fertilizers & Agricultural Chemicals",1098.322,3309.493
"353070","AUD","2024",6,"6/30/2024",4364.2,68.5,363.1,12.4,2467.3,NA,716.2,414,0,3996.6,0.1861,414,"LOTTERY CORPORATION LTD","AUS","Lottery Corporation LTD",2530,253010,25,25301010,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Casinos & Gaming",2479.7,2842.8
"286945","AUD","2024",6,"6/30/2024",4309.245,810.001,3244.169,135.773,419.97,NA,396.252,256.883,0,1254.118,0.0854,256.883,"PILBARA MINERALS LTD","AUS","Pilbara Minerals Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",555.743,3799.912
"207300","AUD","2024",6,"6/30/2024",4214.281,21.708,1203.203,372.779,615.373,NA,257.351,139.155,0,2710.748,0.6371,139.638,"FLIGHT CENTRE TRAVEL GROUP","AUS","Flight Centre Travel Group Ltd",2530,253010,25,25301020,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",988.152,2191.355
"274487","AUD","2024",6,"6/30/2024",4049.25,6.399,1749.211,20.274,704.418,NA,223.936,167.677,0,1014.134,1.2566,137.072,"AUB GROUP LTD","AUS","AUB Group Ltd",4030,403010,40,40301010,"Financials","Insurance","Insurance","Insurance Brokers",724.692,2473.903
"314884","AUD","2024",6,"6/30/2024",4004.083,37.606,1785.367,139.255,939.963,NA,336.932,134.9,0,2629.81,0.0687,110.897,"NINE ENTERTAINMENT CO HLDGS","AUS","Nine Entertainment Co Holdings Ltd",5020,502010,50,50201020,"Communication Services","Media & Entertainment","Media","Broadcasting",1079.218,2864.585
"253358","AUD","2024",6,"6/30/2024",3566.8,198.9,3209.3,22.5,26.2,NA,-394.3,2.8,0,844.1,0.0037,2.8,"WESTERN AREAS LTD","AUS","Western Areas Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",48.7,3258
"253596","AUD","2024",6,"6/30/2024",3566.8,198.9,3209.3,22.5,26.2,NA,-592.6,2.8,0,841.3,0.0037,2.8,"IGO LTD","AUS","IGO Limited",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",48.7,3258
"258858","AUD","2024",6,"6/30/2024",3486.6,74.5,1559.1,197.6,459.8,NA,645.4,438.8,0,9592.4,4.0146,438.8,"JB HI-FI","AUS","Jb Hi-Fi Ltd",2550,255040,25,25504020,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Computer & Electronics Retail",657.4,2216.5
"267188","AUD","2024",6,"6/30/2024",3477.1,7.3,324.2,340.4,1.3,NA,153.2,30.1,0,463.6,0.1802,31.6,"CUSCAL LIMITED","AUS","Cuscal Limited",4020,402010,40,40201060,"Financials","Financial Services (New Name)","Financial Services (New Name)","Transaction & Payment Processing Services (New)",341.7,665.9
"258444","AUD","2024",7,"7/31/2024",3468.571,271.783,2543.151,268.201,93.293,NA,706.153,475.855,0,1802.206,0.5631,475.855,"NEW HOPE CORP LTD","AUS","New Hope Corporation Ltd",1010,101020,10,10102050,"Energy","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels",361.494,2904.645
"222202","AUD","2024",6,"6/30/2024",3385.3,160.4,1246.9,31.4,1113,NA,-48.3,-1359.7,0,2338.9,-0.5957,-1359.7,"TABCORP HOLDINGS LTD","AUS","Tabcorp Holdings Ltd Tah",2530,253010,25,25301010,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Casinos & Gaming",1144.4,2391.3
"210805","AUD","2024",6,"6/30/2024",3355.798,335.154,1788.383,17.115,911.489,NA,240.63,107.165,0,3342.02,0.1085,95.476,"PERENTI LTD","AUS","Perenti Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",928.604,2716.987
"317261","AUD","2024",6,"6/30/2024",3342.233,6.922,590.715,587.094,1448.116,NA,221.324,89.661,0,1127.212,0.2623,89.661,"SG FLEET GROUP LTD","AUS","SG Fleet Group Ltd",2020,202010,20,20201070,"Industrials","Commercial  & Professional Services","Commercial Services & Supplies","Diversified Support Services",2035.21,2625.925
"270502","AUD","2024",6,"6/30/2024",3263.3,135,1373.2,200.3,903.1,NA,389.2,240.1,0,3882.6,1.0632,240.1,"SUPER RETAIL GROUP LTD","AUS","Super Retail Group Ltd",2550,255040,25,25504040,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Other Specialty Retail (New Name)",1103.4,2476.6
"014242","USD","2024",6,"6/30/2024",3242.6,62.8,1910.2,77.5,779.7,NA,195.5,77.5,0,1619.3,0.5944,76.5,"ANSELL LTD","AUS","Ansell Ltd",3510,351010,35,35101020,"Health Care","Health Care Equipment & Services","Health Care Equipment & Supplies","Health Care Supplies",857.2,2767.4
"260564","USD","2024",6,"6/30/2024",2996.798,221.942,1667.901,62.74,519.84,NA,49.457,-19.071,0,935.188,-0.038,-17.348,"SANDFIRE RESOURCES LTD","AUS","SANDFIRE RESOURCES LIMITED",1510,151040,15,15104025,"Materials","Materials","Metals & Mining","Copper",582.58,2250.481
"241405","AUD","2024",6,"6/30/2024",2982.8,50.9,1040.7,271.3,1326.6,NA,65.5,-636,0,1746.2,-0.964,-636,"HEALIUS LTD","AUS","Healius Ltd",3510,351020,35,35102015,"Health Care","Health Care Equipment & Services","Health Care Providers & Services","Health Care  Services",1597.9,2638.6
"241386","AUD","2024",9,"9/30/2024",2904.9,54.7,1502.7,588.3,351.7,NA,21.7,61.8,0,6506.8,0.2765,61.8,"GRAINCORP LTD","AUS","Graincorp Ltd",3010,301010,30,30101020,"Consumer Staples","Consumer Staples Distribution & Retail (New Name)","Consumer Staples Distribution & Retail (New Name)","Food Distributors",940,2442.7
"321501","AUD","2024",6,"6/30/2024",2827.1,25,2213.4,10.7,93.7,NA,388.4,262.8,0,1041.7,0.794,262.8,"WISETECH GLOBAL LTD","AUS","Wisetech Global Ltd",4510,451030,45,45103010,"Information Technology","Software & Services","Software","Application Software",104.4,2317.8
"212658","AUD","2024",6,"6/30/2024",2804.921,579.339,2242.805,33.496,150.482,NA,61.787,84.514,0,463.285,0.0905,84.514,"LYNAS RARE EARTHS LIMITED","AUS","Lynas Rare Earths Limited",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",183.978,2426.783
"351224","AUD","2024",6,"6/30/2024",2790.929,9.491,1220.885,61.603,996.409,NA,132.482,-219.566,0,2294.403,-0.2407,-220.742,"APM HUMAN SERVICES INTL LTD","AUS","APM Human Services International Limited",2020,202020,20,20202010,"Industrials","Commercial  & Professional Services","Professional Services","Human Resource & Employment Services (Definition Update)",1058.012,2278.897
"212635","AUD","2024",6,"6/30/2024",2745.1,62.4,1840.5,41.6,202.1,NA,509.6,356.8,0,2235.6,5.4443,356.8,"COCHLEAR LTD","AUS","Cochlear Ltd",3510,351010,35,35101010,"Health Care","Health Care Equipment & Services","Health Care Equipment & Supplies","Health Care Equipment",243.7,2084.2
